model,variable,moderator_value,slope,SE,df,lower_ci,upper_ci,p.value
EP_HPSMs1,Zprog_ww,0,-0.07279015647837563,0.016709855204465173,244.43297595468698,-0.10570383568716901,-0.03987647726958224,1.949350918737207e-5
EP_HPSMs1,Zprog_ww,1,-0.02247309895171387,0.024993201131763308,242.85018095626725,-0.07170421860852083,0.026758020705093095,0.3694536049649034
EP_HPSMs1,Zestr_ww,-1,0.08544132045361091,0.02567358672119912,308.1966381573781,0.03492363358220818,0.13595900732501365,9.807625354714244e-4
EP_HPSMs1,Zestr_ww,0,0.04185914448776325,0.01892647209433006,304.6872088973477,0.004616003622007009,0.07910228535351949,0.027731267165399042
EP_HPSMs1,Zestr_ww,1,-0.001723031478084429,0.028335790529783935,303.2388024959553,-0.05748270682644905,0.0540366438702802,0.9515524923504612
EP_PRCPSMs2,Zprc_stirn_ww,-1,0.10186277521271349,0.022878095599744984,225.05390962316926,0.05678009597946613,0.14694545444596085,1.336883106675879e-5
EP_PRCPSMs2,Zprc_stirn_ww,0,0.07108710023532727,0.015144002463842253,224.76031067590137,0.041244711309617724,0.10092948916103682,4.656282260577076e-6
EP_PRCPSMs2,Zprc_stirn_ww,1,0.040311425257941055,0.020294591793520937,227.3040071375576,3.2183750475231476e-4,0.0803010130111298,0.04819970558375675
EP_HPSMs2,Zprog_ww,-1,-0.1320449093213915,0.028861771456374113,225.94101990898142,-0.1889175786907143,-0.07517223995206875,7.850688649960418e-6
EP_HPSMs2,Zprog_ww,0,-0.08243578448637255,0.01912919789928958,226.70086998707407,-0.12012955231209366,-0.04474201666065144,2.4402860744828533e-5
EP_HPSMs2,Zprog_ww,1,-0.0328266596513536,0.02564712090361825,227.414634757596,-0.08336303565067929,0.01770971634797209,0.20187195457656532
EP_HPSMs2,Zestr_ww,-1,0.07561316247963058,0.0264136915679535,246.57875095148273,0.02358792823575108,0.12763839672351007,0.004562304588387698
EP_HPSMs2,Zestr_ww,0,0.05666753380348333,0.01798746203372625,275.98475972771814,0.021257473188590836,0.09207759441837582,0.0018098192123478846
EP_HPSMs2,Zestr_ww,1,0.037721905127336065,0.02367923313290478,260.66042218535847,-0.00890503086096224,0.08434884111563437,0.11236366738671735
EA_PRCPSMSy,Zprc_stirn_ww,-1,0.12554265916691437,0.01672097130688197,467.62309341633926,0.09268511519786819,0.15840020313596054,3.0621548769497835e-13
EA_PRCPSMSy,Zprc_stirn_ww,0,0.07433836600154266,0.011681355024665553,468.3764322514736,0.051384015597722876,0.09729271640536244,4.692064904492192e-10
EA_PRCPSMSy,Zprc_stirn_ww,1,0.023134072836170944,0.016574112236575154,468.0811281534464,-0.009434803026678817,0.055702948699020705,0.1634377611039076
EA_HPSMSy,Zprog_ww,-1,-0.14811274022354146,0.02016085405950747,467.7922104642096,-0.1877297884881649,-0.108495691958918,9.120957138252068e-13
EA_HPSMSy,Zprog_ww,0,-0.0872912406042046,0.014105341395887771,470.8173460380668,-0.11500845317942382,-0.059574028028985364,1.321724961080112e-9
EA_HPSMSy,Zprog_ww,1,-0.02646974098486774,0.020022078513745926,468.459558843644,-0.06581394324330544,0.012874461273569962,0.1868041080645012
EA_HPSMSy,Zestr_ww,-1,0.10392554557165676,0.020275065166984955,531.8827317468605,0.06409651580923507,0.14375457533407843,4.1542498489419005e-7
EA_HPSMSy,Zestr_ww,0,0.05305763811628154,0.014592616269207596,598.8870645885366,0.024398717487076768,0.0817165587454863,3.0082496031386775e-4
EA_HPSMSy,Zestr_ww,1,0.0021897306609063106,0.020136349831812908,536.4057388648138,-0.037366041290602975,0.041745502612415594,0.9134452847642063
EA_PRCPSM,Zprc_stirn_ww,-1,0.12950379487034777,0.016542677555830824,466.17262688634486,0.09699634457769055,0.162011245163005,3.3507589803288905e-14
EA_PRCPSM,Zprc_stirn_ww,0,0.0771298745956683,0.011598021197800784,469.5139769481761,0.05433942168807225,0.09992032750326434,8.153661698475683e-11
EA_PRCPSM,Zprc_stirn_ww,1,0.024755954320988798,0.016525958582843323,471.8557135721676,-0.007717624052187403,0.057229532694165,0.1348008282115382
EA_HPSM,Zprog_ww,-1,-0.1507220902528104,0.019904514409037143,466.6966686947414,-0.1898356569310089,-0.11160852357461186,1.9809258932821773e-13
EA_HPSM,Zprog_ww,0,-0.08923543544839857,0.013974362838734966,472.2246322550521,-0.11669506224939366,-0.06177580864740348,4.088488503973344e-10
